input_template_name:,ghg_credit_history,input_template_version:,0.21
calendar_year,model_year,compliance_id,balance_Mg
2022,2017,consolidated_OEM,10551149
2022,2018,consolidated_OEM,21602835
2022,2019,consolidated_OEM,21998319
2022,2020,consolidated_OEM,22504890
2022,2021,consolidated_OEM,28894083
2022,2022,consolidated_OEM,28829650
2022,2019,Aston Martin Lagonda,681
2022,2020,Aston Martin Lagonda,9470
2022,2021,Aston Martin Lagonda,5489
2022,2022,Aston Martin Lagonda,5302
2022,2017,BMW,2259136
2022,2018,BMW,138811
2022,2019,BMW,281656
2022,2020,BMW,117904
2022,2021,BMW,582705
2022,2022,BMW,297241
2022,2017,Ferrari,1047
2022,2018,Ferrari,4192
2022,2020,Ford,1854402
2022,2021,Ford,2118166
2022,2022,Ford,1118271
2022,2020,General Motors,4021303
2022,2022,General Motors,10000000
2022,2017,Honda,2938779
2022,2018,Honda,8192781
2022,2019,Honda,5365503
2022,2020,Honda,2868950
2022,2021,Honda,4005904
2022,2022,Honda,4599960
2022,2022,Hyundai,1924619
2022,2021,JLR,1374461
2022,2022,JLR,60900
2022,2022,Kia,-416089
2022,2022,Lucid,97261
2022,2018,Mazda,95569
2022,2022,Mercedes Benz,4123493
2022,2018,Mitsubishi,144541
2022,2019,Mitsubishi,105497
2022,2020,Mitsubishi,56866
2022,2021,Mitsubishi,476697
2022,2022,Mitsubishi,559669
2022,2017,Nissan,1170458
2022,2018,Nissan,1100000
2022,2021,Nissan,1400000
2022,2022,Rivian,1385539
2022,2018,Stellantis,6406741
2022,2019,Stellantis,11070481
2022,2020,Stellantis,8443887
2022,2021,Stellantis,12000000
2022,2017,Subaru,2156402
2022,2018,Subaru,2561015
2022,2019,Subaru,3261822
2022,2020,Subaru,3041737
2022,2021,Subaru,2859900
2022,2022,Subaru,1097819
2022,2017,Tesla,1766
2022,2018,Tesla,53704
2022,2020,Tesla,208003
2022,2021,Tesla,13928
2022,2022,Tesla,60395
2022,2017,Toyota,1944036
2022,2018,Toyota,2126707
2022,2019,Toyota,1596028
2022,2020,Toyota,1666470
2022,2021,Toyota,2592586
2022,2022,Toyota,2380010
2022,2021,VW,632331
2022,2017,Volvo,78996
2022,2018,Volvo,778606
2022,2019,Volvo,316651
2022,2020,Volvo,215898
2022,2021,Volvo,831916
2022,2022,Volvo,1119171
