input_template_name:,vehicle_price_modifications,input_template_version:,0.2,notes:,20240221,
start_year,sedan_wagon.BEV:price_modification_dollars,cuv_suv_van.BEV:price_modification_dollars,pickup.BEV:price_modification_dollars,sedan_wagon.PHEV:price_modification_dollars,cuv_suv_van.PHEV:price_modification_dollars,pickup.PHEV:price_modification_dollars
2020,0,0,0,0,0,0
2023,-2925,-2925,-2925,-2925,-2925,-2925
2024,-3225,-3225,-3225,-3225,-3225,-3225
2025,-3300,-3300,-3300,-3300,-3300,-3300
2026,-3300,-3300,-3300,-3300,-3300,-3300
2027,-3600,-3600,-3600,-3600,-3600,-3600
2028,-3750,-3750,-3750,-3750,-3750,-3750
2029,-3900,-3900,-3900,-3900,-3900,-3900
2030,-4125,-4125,-4125,-4125,-4125,-4125
2031,-5075,-5075,-5075,-5075,-5075,-5075
2032,-6000,-6000,-6000,-6000,-6000,-6000
2033,0,0,0,0,0,0
